linearity,leniency,performance
17,9,1.0
9,14,1.0
24,12,1.0
15,13,1.0
17,13,0.5666666666666667
19,22,1.0
11,10,1.0
5,12,1.0
13,16,1.0
24,3,1.0
6,18,1.0
10,18,1.0
18,22,0.5333333333333333
10,20,1.0
9,15,1.0
10,24,0.6666666666666666
16,12,0.5
10,11,1.0
19,21,0.7666666666666667
17,12,1.0
3,11,1.0
14,11,1.0
16,10,1.0
10,19,1.0
15,14,1.0
12,0,1.0
11,20,1.0
16,13,0.8666666666666667
18,21,1.0
15,7,1.0
15,21,0.6
7,22,1.0
12,24,1.0
12,20,0.5666666666666667
19,2,1.0
16,8,1.0
9,23,1.0
19,3,1.0
20,11,1.0
13,14,0.5
13,24,0.3333333333333333
10,23,1.0
5,17,1.0
9,24,0.7
1,10,1.0
19,6,1.0
13,21,0.3333333333333333
15,9,1.0
18,16,0.36666666666666664
17,7,1.0
19,12,1.0
15,1,1.0
4,19,1.0
10,26,0.6071428571428571
5,24,1.0
18,19,1.0
15,23,0.5862068965517241
4,21,1.0
4,15,1.0
19,15,1.0
7,26,1.0
11,11,1.0
14,20,0.3333333333333333
3,13,1.0
20,13,1.0
18,8,1.0
20,2,1.0
17,4,1.0
16,15,1.0
14,14,1.0
10,21,0.6071428571428571
17,20,1.0
23,7,1.0
12,2,1.0
22,2,1.0
9,26,1.0
16,21,1.0
21,15,0.3333333333333333
13,23,0.3448275862068966
21,11,1.0
20,17,1.0
20,16,0.8666666666666667
4,18,1.0
7,23,1.0
10,0,1.0
16,19,0.41379310344827586
14,16,1.0
9,27,0.6666666666666666
9,30,0.6666666666666666
4,23,1.0
18,11,1.0
11,18,0.9333333333333333
8,0,1.0
8,24,1.0
23,14,0.4
14,0,1.0
9,21,1.0
15,16,0.8333333333333334
7,25,0.6
9,25,1.0
19,5,1.0
22,9,1.0
18,10,1.0
24,11,1.0
17,23,0.5333333333333333
19,13,1.0
23,13,1.0
11,19,0.8666666666666667
19,17,1.0
15,0,1.0
2,17,1.0
15,22,0.8
20,9,1.0
18,14,1.0
24,14,0.43333333333333335
7,30,1.0
11,23,0.6
21,18,0.3333333333333333
5,26,1.0
3,19,1.0
23,9,1.0
2,14,1.0
22,18,0.4
19,8,1.0
15,20,1.0
20,10,0.7
21,5,1.0
16,23,0.4
21,13,1.0
22,10,1.0
21,2,1.0
20,8,1.0
22,16,0.7
22,13,1.0
3,21,1.0
8,28,0.6
0,16,1.0
22,1,1.0
6,0,1.0
7,0,1.0
5,22,1.0
11,25,0.7666666666666667
12,22,0.6
21,14,1.0
17,1,1.0
17,0,1.0
21,7,1.0
3,22,1.0
4,25,1.0
21,19,0.3448275862068966
13,26,1.0
19,10,1.0
23,10,1.0
18,15,0.5666666666666667
13,22,1.0
16,0,1.0
24,15,0.43333333333333335
17,16,1.0
18,2,1.0
19,0,1.0
18,23,0.5333333333333333
17,19,0.7931034482758621
16,16,1.0
14,22,1.0
24,6,1.0
2,16,1.0
4,30,1.0
19,1,1.0
21,8,1.0
20,15,1.0
2,15,1.0
0,17,1.0
23,11,1.0
22,12,0.3448275862068966
22,5,1.0
6,1,1.0
4,26,1.0
1,13,1.0
16,24,0.5666666666666667
12,25,0.7333333333333333
20,21,1.0
5,27,1.0
18,25,1.0
18,24,0.3333333333333333
14,23,0.6333333333333333
12,23,0.6666666666666666
18,17,1.0
16,22,0.3333333333333333
20,7,1.0
21,6,1.0
4,29,1.0
14,24,1.0
28,17,1.0
18,6,1.0
9,28,1.0
7,24,1.0
25,16,1.0
25,14,1.0
21,1,1.0
23,3,1.0
19,18,0.43333333333333335
17,17,1.0
21,16,0.4
9,0,1.0
25,9,1.0
17,24,1.0
22,11,1.0
16,20,0.7666666666666667
20,5,1.0
25,11,1.0
5,28,1.0
25,17,1.0
25,10,1.0
17,22,0.7333333333333333
26,11,1.0
21,9,1.0
12,26,1.0
3,24,1.0
16,25,0.4
21,4,1.0
19,16,0.43333333333333335
